Country,MBTI_type,Proportion,Percentage
Saint Kitts and Nevis,INFP,0.1617,16.17%
Saint Lucia,INFP,0.1541,15.41%
Saint Vincent and the Grenadines,INFP,0.1453,14.53%
Saudi Arabia,INFP,0.1671,16.71%
Senegal,ENFP,0.1250,12.50%
Serbia,INFP,0.1531,15.31%
Seychelles,ENFP,0.1296,12.96%
Singapore,INFP,0.1516,15.16%
Slovakia,INFP,0.1556,15.56%
Slovenia,INFP,0.1632,16.32%
Somalia,ESFJ,0.1614,16.14%
South Africa,ENFP,0.1346,13.46%
South Korea,INFP,0.1294,12.94%
Spain,INFP,0.1673,16.73%
Sri Lanka,ENFP,0.1434,14.34%
Sudan,ENFP,0.1106,11.06%
Suriname,INFP,0.1796,17.96%
Sweden,INFP,0.1459,14.59%
Switzerland,ENFP,0.1486,14.86%
Syria,INFP,0.1042,10.42%
Tajikistan,ENFP,0.1399,13.99%
Tanzania,ENFP,0.1263,12.63%
Thailand,INFP,0.1493,14.93%
Trinidad and Tobago,INFP,0.1623,16.23%
Tunisia,INFP,0.1253,12.53%
Turkey,INFP,0.1402,14.02%
Uganda,ESFJ,0.0997,9.97%
Ukraine,INFP,0.1355,13.55%
United Arab Emirates,ENFP,0.1601,16.01%
United Kingdom,INFP,0.1182,11.82%
United States,INFP,0.1507,15.07%
Uruguay,INFP,0.1895,18.95%
Uzbekistan,ESTJ,0.1054,10.54%
Vanuatu,ENFP,0.1297,12.97%
Vietnam,INFP,0.1447,14.47%
Yemen,ENFP,0.1188,11.88%
Zambia,ESFJ,0.1253,12.53%
Zimbabwe,ENFP,0.1134,11.34%
