Country,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ-A
Azerbaijan,0.0581,0.0412,0.08039999999999999,0.0323,0.055099999999999996,0.0305,0.0276,0.037200000000000004,0.0325,0.0174,0.029500000000000002,0.0506,0.0437,0.0263,0.033,0.0134,0.028300000000000002,0.023799999999999998,0.0333,0.0233,0.029500000000000002,0.0189,0.0298,0.033,0.0146,0.0241,0.0139,0.0258,0.0417,0.0233,0.0109,0.0166
Bahamas,0.0371,0.0649,0.0981,0.025699999999999997,0.0574,0.050300000000000004,0.0098,0.0387,0.0433,0.014199999999999999,0.0364,0.0361,0.0533,0.0323,0.0209,0.0096,0.0171,0.0139,0.0255,0.0202,0.020499999999999997,0.045599999999999995,0.027200000000000002,0.022799999999999997,0.015,0.0103,0.0168,0.0339,0.0269,0.021099999999999997,0.0236,0.031400000000000004
Bahrain,0.0347,0.054900000000000004,0.10869999999999999,0.0349,0.08380000000000001,0.0501,0.0166,0.0385,0.037599999999999995,0.018600000000000002,0.015300000000000001,0.0358,0.0575,0.0311,0.026000000000000002,0.011399999999999999,0.0147,0.027999999999999997,0.026699999999999998,0.023,0.0231,0.0212,0.0206,0.024300000000000002,0.0131,0.0159,0.0103,0.027999999999999997,0.045,0.0163,0.0159,0.018500000000000003
Bangladesh,0.025099999999999997,0.0473,0.1189,0.0366,0.0713,0.032799999999999996,0.0191,0.036699999999999997,0.0281,0.0148,0.0172,0.050300000000000004,0.05,0.048600000000000004,0.0149,0.0166,0.0194,0.0352,0.019,0.0233,0.0226,0.0233,0.0268,0.0259,0.0215,0.0146,0.0143,0.030899999999999997,0.0358,0.0192,0.0204,0.0197
Barbados,0.0308,0.06,0.1127,0.0236,0.048,0.047400000000000005,0.0074,0.0449,0.0405,0.0146,0.0305,0.0356,0.0602,0.028999999999999998,0.02,0.0098,0.0181,0.0172,0.0264,0.0226,0.0233,0.056100000000000004,0.0286,0.0144,0.0106,0.0077,0.0166,0.037000000000000005,0.0264,0.0265,0.0227,0.030899999999999997
Belarus,0.0417,0.030600000000000002,0.1007,0.0274,0.0662,0.0279,0.0213,0.0319,0.022099999999999998,0.0229,0.0345,0.07200000000000001,0.0473,0.0282,0.0231,0.011699999999999999,0.0319,0.0146,0.0345,0.0144,0.0412,0.020499999999999997,0.0332,0.0359,0.0239,0.022099999999999998,0.0229,0.0128,0.0298,0.026600000000000002,0.013000000000000001,0.013600000000000001
Belgium,0.0265,0.0383,0.138,0.0308,0.0965,0.0635,0.0095,0.0383,0.0278,0.0169,0.0159,0.0449,0.060599999999999994,0.027999999999999997,0.018000000000000002,0.0068000000000000005,0.0129,0.0203,0.0352,0.0241,0.020499999999999997,0.018000000000000002,0.0322,0.0258,0.0098,0.011699999999999999,0.0111,0.032799999999999996,0.038599999999999995,0.0178,0.0134,0.0155
Belize,0.0288,0.057699999999999994,0.1085,0.0348,0.0661,0.052300000000000006,0.008199999999999999,0.0382,0.0387,0.0192,0.023700000000000002,0.0373,0.054299999999999994,0.03,0.0141,0.010700000000000001,0.015300000000000001,0.026600000000000002,0.0226,0.0317,0.0206,0.0404,0.0226,0.0246,0.011000000000000001,0.0076,0.011000000000000001,0.0331,0.0345,0.024,0.0229,0.0288
Bhutan,0.0435,0.0913,0.1292,0.045599999999999995,0.0969,0.0421,0.016200000000000003,0.044199999999999996,0.030899999999999997,0.0042,0.011899999999999999,0.037200000000000004,0.0492,0.044199999999999996,0.019,0.0077,0.011899999999999999,0.0407,0.005600000000000001,0.0281,0.0105,0.0316,0.0154,0.0176,0.0084,0.006999999999999999,0.005600000000000001,0.0274,0.0344,0.0084,0.0183,0.0154
Bosnia and Herzegovina,0.0359,0.0323,0.1099,0.016,0.0665,0.0478,0.012,0.0216,0.035,0.0199,0.0182,0.0665,0.060599999999999994,0.0197,0.0392,0.0095,0.0165,0.013999999999999999,0.051699999999999996,0.017,0.037000000000000005,0.013000000000000001,0.0414,0.0391,0.0102,0.0191,0.010700000000000001,0.0276,0.0336,0.0326,0.0089,0.0172
Botswana,0.0313,0.0587,0.1168,0.025099999999999997,0.07200000000000001,0.0479,0.0118,0.0361,0.0418,0.0127,0.0184,0.0462,0.0591,0.0429,0.023,0.0101,0.0154,0.019,0.023399999999999997,0.020499999999999997,0.0177,0.0327,0.025099999999999997,0.0285,0.0165,0.011200000000000002,0.0089,0.0323,0.0327,0.022400000000000003,0.0179,0.0217
Brazil,0.0183,0.0275,0.1598,0.0223,0.0932,0.0404,0.0095,0.032,0.025,0.011000000000000001,0.0203,0.0664,0.0742,0.0269,0.0151,0.0076,0.0191,0.0172,0.0232,0.0151,0.0374,0.017,0.0313,0.027000000000000003,0.0139,0.0124,0.011399999999999999,0.0292,0.0381,0.0271,0.011399999999999999,0.0196
Brunei,0.0143,0.0506,0.1677,0.0394,0.0843,0.0377,0.0102,0.0596,0.0219,0.0088,0.0095,0.027200000000000002,0.0694,0.0797,0.0059,0.0101,0.0128,0.0464,0.0095,0.0308,0.013600000000000001,0.0264,0.0124,0.0148,0.0147,0.006,0.009899999999999999,0.0275,0.0339,0.0066,0.024399999999999998,0.0141
Bulgaria,0.0353,0.0279,0.1208,0.0181,0.0794,0.048799999999999996,0.014199999999999999,0.024700000000000003,0.030699999999999998,0.021,0.0206,0.0621,0.0535,0.021400000000000002,0.0342,0.009000000000000001,0.0159,0.0134,0.049800000000000004,0.0147,0.029300000000000003,0.0144,0.0392,0.04019999999999999,0.0125,0.0194,0.0138,0.0304,0.0325,0.026000000000000002,0.010700000000000001,0.016200000000000003
Burkina Faso,0.0235,0.06709999999999999,0.07719999999999999,0.0268,0.1174,0.057,0.0067,0.0369,0.06709999999999999,0.0268,0.0168,0.0302,0.050300000000000004,0.0369,0.0134,0.0101,0.0034000000000000002,0.047,0.0268,0.0436,0.0101,0.0134,0.0235,0.0168,0.0067,0.0101,0.0235,0.0235,0.0403,0.0101,0.0134,0.0302
Cambodia,0.028399999999999998,0.0689,0.11960000000000001,0.045,0.0806,0.0467,0.0181,0.0455,0.031400000000000004,0.0138,0.0148,0.0276,0.0571,0.0483,0.012,0.0116,0.0173,0.0387,0.0181,0.0294,0.0159,0.0253,0.0151,0.0189,0.016200000000000003,0.0098,0.0103,0.029500000000000002,0.038,0.0121,0.0197,0.016200000000000003
Cameroon,0.0518,0.09380000000000001,0.0834,0.055999999999999994,0.045700000000000005,0.0341,0.0219,0.0432,0.0512,0.013999999999999999,0.0219,0.027999999999999997,0.0518,0.0323,0.0225,0.0128,0.0171,0.0292,0.0152,0.039,0.0231,0.0371,0.0097,0.025,0.0116,0.0189,0.0091,0.0262,0.0305,0.012199999999999999,0.0116,0.020099999999999996
Canada,0.0248,0.048,0.1275,0.0346,0.08460000000000001,0.049800000000000004,0.0108,0.0542,0.0326,0.014199999999999999,0.0192,0.037200000000000004,0.065,0.0375,0.0154,0.0079,0.016399999999999998,0.023799999999999998,0.0239,0.023799999999999998,0.0191,0.0296,0.022000000000000002,0.022099999999999998,0.011699999999999999,0.0105,0.011200000000000002,0.029900000000000003,0.0395,0.0159,0.0178,0.019299999999999998
Chile,0.0179,0.030299999999999997,0.1523,0.0165,0.0727,0.0594,0.0075,0.0268,0.0305,0.011000000000000001,0.0207,0.0667,0.0669,0.025,0.015700000000000002,0.005,0.016200000000000003,0.013000000000000001,0.0268,0.0179,0.0375,0.0192,0.0374,0.0235,0.0138,0.0108,0.0132,0.044000000000000004,0.031,0.0297,0.0146,0.026600000000000002
China,0.0335,0.0601,0.08220000000000001,0.0415,0.059000000000000004,0.0353,0.0206,0.059000000000000004,0.027999999999999997,0.017,0.0231,0.036699999999999997,0.0401,0.0575,0.0175,0.015,0.024300000000000002,0.0385,0.0207,0.0296,0.021099999999999997,0.0362,0.0204,0.022799999999999997,0.021400000000000002,0.0128,0.014499999999999999,0.0241,0.028900000000000002,0.0163,0.026600000000000002,0.0159
Colombia,0.0302,0.0608,0.107,0.0236,0.07730000000000001,0.060599999999999994,0.0128,0.0239,0.0478,0.0152,0.0169,0.057300000000000004,0.0479,0.022400000000000003,0.0245,0.0097,0.016399999999999998,0.0195,0.0322,0.025699999999999997,0.0282,0.019799999999999998,0.0288,0.0278,0.0123,0.015700000000000002,0.0103,0.0302,0.0366,0.0245,0.013000000000000001,0.021099999999999997
Congo,0.0663,0.0663,0.04019999999999999,0.0542,0.050199999999999995,0.042199999999999994,0.0161,0.0281,0.050199999999999995,0.0321,0.0361,0.022099999999999998,0.0542,0.022099999999999998,0.042199999999999994,0.0161,0.0181,0.0341,0.0301,0.026099999999999998,0.0161,0.0482,0.012,0.0321,0.0161,0.022099999999999998,0.0161,0.01,0.0301,0.020099999999999996,0.0161,0.0141
Costa Rica,0.0258,0.0464,0.10310000000000001,0.0252,0.0875,0.0674,0.0115,0.0291,0.0397,0.0149,0.020499999999999997,0.0501,0.049800000000000004,0.0219,0.0208,0.0087,0.0174,0.018600000000000002,0.033,0.026099999999999998,0.0297,0.021099999999999997,0.0297,0.030600000000000002,0.0106,0.016,0.011000000000000001,0.0352,0.0398,0.023799999999999998,0.015600000000000001,0.0194
Croatia,0.0349,0.0355,0.1201,0.0203,0.0771,0.0509,0.0129,0.026000000000000002,0.0356,0.019,0.0182,0.0592,0.060700000000000004,0.0218,0.0297,0.0083,0.0158,0.015600000000000001,0.0409,0.0183,0.0333,0.0151,0.0333,0.0361,0.0115,0.0177,0.012,0.028300000000000002,0.035699999999999996,0.027200000000000002,0.0103,0.018799999999999997
Cuba,0.0181,0.0758,0.057800000000000004,0.028900000000000002,0.10830000000000001,0.09029999999999999,0.0108,0.028900000000000002,0.050499999999999996,0.0036,0.0181,0.0325,0.0217,0.028900000000000002,0.0144,0.0036,0.0253,0.0217,0.057800000000000004,0.0361,0.0108,0.0325,0.0217,0.0325,0.0181,0.0108,0.0108,0.065,0.0181,0.0108,0.0144,0.0217
Cyprus,0.0338,0.049800000000000004,0.11359999999999999,0.029900000000000003,0.08220000000000001,0.0473,0.015600000000000001,0.0317,0.039599999999999996,0.0178,0.0189,0.04650000000000001,0.0581,0.027000000000000003,0.028300000000000002,0.0095,0.016399999999999998,0.0215,0.032799999999999996,0.0199,0.024700000000000003,0.0195,0.0252,0.0327,0.0115,0.018799999999999997,0.009300000000000001,0.0248,0.044800000000000006,0.0191,0.011399999999999999,0.0177
Czech Republic,0.0296,0.0302,0.1344,0.0236,0.0739,0.0444,0.0124,0.032400000000000005,0.0216,0.0192,0.0213,0.0636,0.0643,0.026099999999999998,0.0208,0.009300000000000001,0.0191,0.018500000000000003,0.037200000000000004,0.0194,0.0347,0.0166,0.0368,0.0327,0.014199999999999999,0.013600000000000001,0.0152,0.0296,0.029500000000000002,0.0263,0.0132,0.0163
Congo (Kinshasa),0.0663,0.0663,0.04019999999999999,0.0542,0.050199999999999995,0.042199999999999994,0.0161,0.0281,0.050199999999999995,0.0321,0.0361,0.022099999999999998,0.0542,0.022099999999999998,0.042199999999999994,0.0161,0.0181,0.0341,0.0301,0.026099999999999998,0.0161,0.0482,0.012,0.0321,0.0161,0.022099999999999998,0.0161,0.01,0.0301,0.020099999999999996,0.0161,0.0141
Denmark,0.028900000000000002,0.0449,0.1253,0.027000000000000003,0.0824,0.0673,0.0085,0.0383,0.0333,0.019299999999999998,0.0176,0.039900000000000005,0.0649,0.0296,0.0184,0.0064,0.0134,0.0197,0.0358,0.0285,0.02,0.0195,0.031,0.0213,0.011200000000000002,0.009300000000000001,0.013300000000000001,0.0368,0.0337,0.018799999999999997,0.0174,0.018500000000000003
Djibouti,0.0311,0.0687,0.054000000000000006,0.0229,0.0622,0.058899999999999994,0.018000000000000002,0.0344,0.0229,0.0327,0.0393,0.0147,0.0458,0.0327,0.0278,0.018000000000000002,0.0115,0.0229,0.0344,0.0196,0.0213,0.0229,0.0507,0.0147,0.018000000000000002,0.0213,0.018000000000000002,0.0426,0.029500000000000002,0.0278,0.029500000000000002,0.0311
Dominica,0.0323,0.0679,0.1101,0.0182,0.0588,0.0348,0.0108,0.0447,0.0356,0.015700000000000002,0.0232,0.0695,0.06709999999999999,0.0298,0.0166,0.0124,0.015700000000000002,0.0149,0.0207,0.022400000000000003,0.030600000000000002,0.0339,0.0207,0.024,0.0108,0.0083,0.0141,0.0373,0.022400000000000003,0.025699999999999997,0.0265,0.0248
Dominican Republic,0.0291,0.0572,0.10529999999999999,0.0282,0.0839,0.063,0.009300000000000001,0.0365,0.0437,0.0172,0.0199,0.040999999999999995,0.0565,0.0288,0.020099999999999996,0.0083,0.0118,0.0207,0.0255,0.0334,0.019,0.0269,0.0242,0.024,0.009000000000000001,0.010700000000000001,0.0118,0.0356,0.0397,0.0225,0.015,0.022400000000000003
Ecuador,0.026699999999999998,0.0507,0.106,0.023399999999999997,0.0828,0.0637,0.0132,0.0277,0.038900000000000004,0.0159,0.0174,0.049699999999999994,0.045700000000000005,0.027200000000000002,0.021,0.012199999999999999,0.0165,0.0274,0.0345,0.030299999999999997,0.026699999999999998,0.0223,0.0311,0.0297,0.0127,0.0113,0.011899999999999999,0.0327,0.0315,0.0233,0.0168,0.019
Egypt,0.032400000000000005,0.0377,0.0989,0.0333,0.0785,0.0391,0.02,0.034300000000000004,0.034300000000000004,0.0178,0.0195,0.0466,0.0506,0.0364,0.0258,0.017,0.0215,0.0305,0.0274,0.0218,0.0279,0.018799999999999997,0.0253,0.031200000000000002,0.0196,0.0209,0.013999999999999999,0.0231,0.0424,0.0218,0.0154,0.0159
El Salvador,0.0298,0.06480000000000001,0.1124,0.024700000000000003,0.0786,0.054299999999999994,0.0111,0.026000000000000002,0.038599999999999995,0.016399999999999998,0.018000000000000002,0.0533,0.0432,0.0248,0.0222,0.0078000000000000005,0.015700000000000002,0.0216,0.0321,0.0308,0.0262,0.0227,0.0315,0.0269,0.0134,0.011899999999999999,0.0111,0.0338,0.0292,0.0291,0.0155,0.0226
Estonia,0.0241,0.0274,0.1449,0.0216,0.0825,0.05,0.011899999999999999,0.0388,0.0265,0.016,0.019799999999999998,0.0604,0.0682,0.032,0.018600000000000002,0.0098,0.0195,0.016,0.0331,0.0182,0.026600000000000002,0.0178,0.0317,0.0285,0.0159,0.0121,0.0144,0.0313,0.0332,0.019299999999999998,0.0138,0.015700000000000002
Ethiopia,0.0425,0.07200000000000001,0.08199999999999999,0.032799999999999996,0.057699999999999994,0.042300000000000004,0.0187,0.0334,0.0405,0.0143,0.022099999999999998,0.0425,0.039900000000000005,0.042300000000000004,0.0232,0.012,0.0172,0.0359,0.0252,0.0308,0.022099999999999998,0.0288,0.0252,0.0298,0.0163,0.014199999999999999,0.0132,0.0332,0.0279,0.020499999999999997,0.021400000000000002,0.02
Faroe Islands,0.026000000000000002,0.0335,0.15259999999999999,0.0229,0.07440000000000001,0.0425,0.011200000000000002,0.0441,0.0239,0.0154,0.0159,0.053200000000000004,0.06860000000000001,0.0548,0.009000000000000001,0.0053,0.0138,0.0245,0.0245,0.0319,0.0165,0.018600000000000002,0.032400000000000005,0.011200000000000002,0.011699999999999999,0.0037,0.011699999999999999,0.0447,0.031400000000000004,0.0149,0.0351,0.0202
Fiji,0.0264,0.0833,0.1026,0.037200000000000004,0.0873,0.0591,0.0132,0.0393,0.0496,0.0111,0.0134,0.0229,0.053,0.0377,0.016399999999999998,0.0111,0.0098,0.0298,0.0177,0.0353,0.0127,0.0274,0.014199999999999999,0.0232,0.011899999999999999,0.008199999999999999,0.01,0.0322,0.0398,0.015300000000000001,0.025099999999999997,0.024
Finland,0.026600000000000002,0.0334,0.1485,0.022000000000000002,0.07519999999999999,0.0506,0.0072,0.039599999999999996,0.0225,0.018600000000000002,0.0239,0.0536,0.0647,0.037000000000000005,0.0158,0.0069,0.0177,0.0199,0.0316,0.0235,0.0252,0.0199,0.0374,0.0209,0.0159,0.0077,0.0176,0.0323,0.0263,0.0239,0.0171,0.017
France,0.028300000000000002,0.0371,0.1159,0.0304,0.0791,0.050199999999999995,0.0167,0.0358,0.0274,0.0197,0.0206,0.046799999999999994,0.0504,0.0325,0.018500000000000003,0.015300000000000001,0.0197,0.0259,0.0305,0.0248,0.0226,0.0229,0.03,0.027200000000000002,0.018600000000000002,0.013600000000000001,0.0184,0.030600000000000002,0.0337,0.0192,0.021099999999999997,0.0166
Georgia,0.050199999999999995,0.0313,0.086,0.0222,0.055999999999999994,0.0347,0.0213,0.024399999999999998,0.0287,0.0232,0.0305,0.0632,0.047,0.0172,0.04019999999999999,0.0144,0.0226,0.017,0.045,0.013999999999999999,0.0425,0.0179,0.0434,0.0398,0.0144,0.024700000000000003,0.0127,0.023399999999999997,0.028999999999999998,0.0353,0.0103,0.0174
Germany,0.029900000000000003,0.034,0.1436,0.022799999999999997,0.0759,0.0507,0.0101,0.032,0.0278,0.0171,0.0203,0.058499999999999996,0.0676,0.026600000000000002,0.021,0.006999999999999999,0.0159,0.0166,0.0332,0.020499999999999997,0.0298,0.0175,0.0349,0.0263,0.0126,0.0125,0.013500000000000002,0.033,0.0334,0.0235,0.0141,0.0175
Ghana,0.061200000000000004,0.1097,0.0576,0.043,0.042800000000000005,0.0278,0.0217,0.0536,0.036000000000000004,0.0182,0.03,0.023799999999999998,0.042199999999999994,0.0395,0.02,0.013600000000000001,0.024300000000000002,0.030299999999999997,0.018000000000000002,0.028900000000000002,0.0194,0.0554,0.0161,0.0181,0.0141,0.012199999999999999,0.0128,0.0192,0.026000000000000002,0.018799999999999997,0.0222,0.023799999999999998
Greece,0.031,0.0323,0.11710000000000001,0.0258,0.08410000000000001,0.0433,0.0161,0.0322,0.0319,0.0148,0.0183,0.0599,0.0636,0.0229,0.0279,0.0097,0.0182,0.0169,0.0335,0.014499999999999999,0.0374,0.0147,0.0275,0.0408,0.0125,0.026000000000000002,0.0105,0.0233,0.0453,0.0223,0.0102,0.0154
Grenada,0.0391,0.0666,0.0803,0.0275,0.0645,0.049400000000000006,0.0151,0.0384,0.04190000000000001,0.0165,0.022000000000000002,0.0501,0.057,0.0281,0.0192,0.0069,0.0158,0.0192,0.0281,0.0199,0.026099999999999998,0.035699999999999996,0.022000000000000002,0.0206,0.0103,0.0165,0.0137,0.0275,0.0384,0.0281,0.0275,0.0281
Guatemala,0.0337,0.0564,0.099,0.025099999999999997,0.0771,0.0692,0.0139,0.031200000000000002,0.0415,0.0167,0.0184,0.0473,0.048,0.0222,0.0241,0.0087,0.0151,0.021099999999999997,0.0355,0.0302,0.023700000000000002,0.0229,0.028900000000000002,0.030899999999999997,0.0102,0.0148,0.0105,0.0349,0.0338,0.0202,0.014199999999999999,0.0208
Guinea,0.026699999999999998,0.0658,0.0817,0.044800000000000006,0.07429999999999999,0.044800000000000006,0.0125,0.0545,0.0454,0.0216,0.0199,0.0233,0.057300000000000004,0.0437,0.0148,0.0085,0.0096,0.0409,0.011399999999999999,0.0346,0.0125,0.0346,0.0182,0.0187,0.011399999999999999,0.0045000000000000005,0.0079,0.038,0.0392,0.0233,0.026699999999999998,0.028900000000000002
Guyana,0.0271,0.057699999999999994,0.10859999999999999,0.0248,0.061900000000000004,0.0381,0.0088,0.0385,0.0404,0.0212,0.03,0.047,0.0499,0.0398,0.017,0.0104,0.0222,0.0248,0.0231,0.0241,0.0215,0.041100000000000005,0.0287,0.0218,0.0199,0.0091,0.011399999999999999,0.0346,0.0287,0.022799999999999997,0.0173,0.0277
Haiti,0.0388,0.0677,0.0742,0.0371,0.0753,0.06,0.0118,0.043,0.0353,0.022400000000000003,0.0288,0.0206,0.0483,0.033,0.0265,0.009399999999999999,0.0141,0.0253,0.030600000000000002,0.0359,0.0141,0.0371,0.013500000000000002,0.0271,0.008199999999999999,0.018799999999999997,0.009399999999999999,0.0412,0.0371,0.0129,0.0159,0.0265
Honduras,0.0337,0.0605,0.1048,0.0226,0.0708,0.0599,0.0103,0.028999999999999998,0.0464,0.0212,0.019,0.0449,0.044199999999999996,0.0252,0.0258,0.0097,0.011399999999999999,0.022799999999999997,0.0356,0.0301,0.0263,0.0229,0.0287,0.0282,0.009300000000000001,0.0134,0.011699999999999999,0.0369,0.0333,0.0202,0.0165,0.025099999999999997
Hungary,0.0318,0.0325,0.1291,0.0216,0.0776,0.043899999999999995,0.0128,0.0318,0.0281,0.0167,0.022000000000000002,0.0641,0.0664,0.023,0.0242,0.008199999999999999,0.0184,0.0149,0.0354,0.0167,0.037000000000000005,0.0171,0.0337,0.0323,0.0121,0.018000000000000002,0.011200000000000002,0.0278,0.0362,0.0277,0.0102,0.0174
Iceland,0.0187,0.039900000000000005,0.1519,0.0256,0.0942,0.0756,0.0058,0.0356,0.0344,0.0134,0.0151,0.0415,0.059699999999999996,0.0323,0.0166,0.0058,0.0108,0.0191,0.0313,0.0246,0.0189,0.0226,0.0282,0.0242,0.0106,0.009000000000000001,0.0096,0.0391,0.0362,0.014499999999999999,0.0163,0.019
India,0.031400000000000004,0.056299999999999996,0.1067,0.039,0.0906,0.0449,0.017,0.0336,0.0338,0.0158,0.013300000000000001,0.0425,0.0473,0.0379,0.0176,0.0155,0.0148,0.038,0.0236,0.03,0.02,0.0202,0.0222,0.0308,0.0146,0.0154,0.0097,0.0277,0.042300000000000004,0.0148,0.016399999999999998,0.016200000000000003
Indonesia,0.028999999999999998,0.0513,0.1012,0.049800000000000004,0.0836,0.0391,0.0217,0.0447,0.0271,0.0163,0.014499999999999999,0.033,0.059500000000000004,0.0412,0.0149,0.0174,0.0178,0.050199999999999995,0.018500000000000003,0.0335,0.0233,0.020499999999999997,0.0169,0.025,0.013999999999999999,0.0154,0.0086,0.023700000000000002,0.0406,0.0151,0.0163,0.0163
Iraq,0.0401,0.0378,0.08800000000000001,0.0264,0.06280000000000001,0.0313,0.019299999999999998,0.0281,0.0311,0.02,0.0218,0.0668,0.0545,0.03,0.0271,0.0158,0.0209,0.024300000000000002,0.028900000000000002,0.0168,0.0408,0.0173,0.0385,0.0326,0.019,0.0252,0.0134,0.0208,0.041100000000000005,0.0304,0.012,0.0171
Ireland,0.0217,0.0435,0.1449,0.0361,0.1035,0.0528,0.0095,0.0487,0.0302,0.012199999999999999,0.0139,0.0407,0.0653,0.038599999999999995,0.0143,0.0064,0.013500000000000002,0.027000000000000003,0.0242,0.0242,0.0199,0.0204,0.0203,0.023799999999999998,0.0102,0.0108,0.0086,0.026699999999999998,0.0444,0.0147,0.0141,0.015
Israel,0.0282,0.042699999999999995,0.1183,0.029300000000000003,0.0819,0.0557,0.0103,0.04,0.0364,0.0144,0.0213,0.0443,0.0575,0.033,0.0208,0.0074,0.0163,0.0235,0.029900000000000003,0.0236,0.0242,0.0232,0.029900000000000003,0.023700000000000002,0.0127,0.0126,0.0123,0.032400000000000005,0.0353,0.0213,0.0171,0.0203
